"","Easting","Northing"
"145",-101.073900253837,33.4352802291502
"146",-101.073900253837,33.4352802291502
"147",-101.073900253837,33.4352802291502
"148",-101.073900253837,33.4352802291502
"149",-101.073900253837,33.4352802291502
"150",-101.073900253837,33.4352802291502
"151",-101.073900253837,33.4352802291502
"152",-101.073900253837,33.4352802291502
"153",-101.073900253837,33.4352802291502
"154",-100.112278937611,35.4487123482967
"155",-100.111985235344,35.3610335885443
"156",-100.111834451845,35.3610340743276
"157",-100.111834451845,35.3610340743276
"158",-100.111833779423,35.3609850316372
"159",-100.111833107126,35.3609359979616
"160",-100.111832602812,35.3608992159432
"161",-100.111831482199,35.3608174841339
"162",-100.111830697673,35.3607602646545
"163",-100.111985235344,35.3610335885443
"164",-100.111984674958,35.3609927226429
"165",-100.112150132985,35.4335826915418
