Plant #,Long,Lat
QH-W-AUX3,-110.5687905,38.00006011
QH-W-AUX3-1,-110.5687905,38.00006011
QH-W-AUX3-2,-110.5687905,38.00006011
QH-W-AUX3-3,-110.5687905,38.00006011
QH-W-AUX3-4,-110.5687905,38.00006011
QH-W-AUX3-5,-110.5687905,38.00006011
QH-W-AUX3-6,-110.5687905,38.00006011
QH-W-AUX3-7,-110.5687905,38.00006011
QH-W-AUX3-8,-110.5687905,38.00006011
QH-W-AUX3-9,-110.5687905,38.00006011
QH-W-AUX3-10,-110.5687905,38.00006011
QH-W-AUX3-11,-110.5687905,38.00006011
QH-W-AUX3-12,-110.5687905,38.00006011
QH-W-AUX3-13,-110.5687905,38.00006011
QH-W-AUX3-14,-110.5687905,38.00006011
QH-W-AUX3-15,-110.5687905,38.00006011
QH-W-AUX3-16,-110.5687905,38.00006011
QH-W-AUX3-17,-110.5687905,38.00006011
QH-W-AUX3-18,-110.5687905,38.00006011
QH-W-AUX4,-109.6946041,38.69719285
QH-W-AUX4-1,-109.6946041,38.69719285
QH-W-AUX10,-109.6572654,38.69987079
QH-W-AUX10-1,-109.6572654,38.69987079
QH-W-AUX10-2,-109.6572654,38.69987079
QH-W-AUX10-3,-109.6572654,38.69987079
