Plant #,Long,Lat
QH-E-4-6,-103.2370453,33.61130288
QH-E-4-7,-103.2371407,33.6113854
QH-E-4-8,-103.2372159,33.61145049
QH-E-4-9,-103.2373578,33.61157336
QH-E-4-10,-103.2375346,33.61172647
QH-E-4-11,-103.2376564,33.61183192
QH-E-4-12,-103.2377793,33.61193827
QH-E-4-13,-103.2379488,33.61208497
QH-E-4-14,-103.2380706,33.61219041
QH-E-4-15,-103.2389878,33.61298442
QH-E-4-16,-103.239171,33.61314304
QH-E-4-17,-103.2393267,33.61327782
QH-E-4-18,-103.2393918,33.61341491
QH-E-4-19,-103.2394596,33.61347359
QH-E-9,-102.2548214,33.23895599
QH-E-11,-102.8129993,31.62683542
QH-E-11-1,-102.8129993,31.62683542
QH-E-11-2,-102.8144955,31.63137073
QH-E-11-3,-102.8106443,31.63107022
QH-E-11-4,-102.8154028,31.63179214
QH-E-11-5,-102.8160015,31.63233453
QH-E-12,-102.6063833,31.38229467
QH-E-12-1,-102.6063832,31.38229557
QH-E-AUX2,-103.2323785,33.37290208
QH-E-AUX2-1,-103.2323785,33.37290208
QH-E-AUX2-2,-103.2323166,33.37298777
QH-E-AUX2-3,-103.2322105,33.37313326
QH-E-AUX2-4,-103.2320682,33.37331069
QH-E-AUX3,-103.2622095,33.64291041
QH-E-AUX3-1,-103.2622095,33.64291041
QH-E-AUX3-2,-103.2622095,33.64291041
QH-E-AUX4,-103.0519204,33.62676025
QH-E-AUX4-1,-103.0519204,33.62676025
QH-E-AUX4-2,-103.0519204,33.62676025
QH-E-AUX5,-102.9398189,33.1497226
QH-E-AUX5-1,-103.0479685,33.09685172
QH-E-AUX5-2,-103.0480561,33.09681521
QH-E-AUX5-3,-103.0481383,33.09677773
QH-E-AUX5-4,-103.0482166,33.09672484
QH-E-AUX5-5,-103.0483172,33.09668403
QH-E-AUX5-6,-103.0483898,33.09664639
QH-E-AUX5-7,-103.0484753,33.09660445
QH-E-AUX5-8,-103.0486011,33.09653968
QH-E-AUX5-9,-103.0486824,33.09649586
QH-E-AUX5-10,-103.0487669,33.0964539
QH-E-AUX5-11,-103.0488471,33.09641097
QH-E-AUX6,-103.1108105,33.20302001
QH-E-AUX6-1,-103.1108105,33.20302001
QH-E-AUX6-2,-103.1108105,33.20302001
QH-E-AUX7,-103.0529204,33.57045106
QH-E-AUX7-1,-103.0529204,33.57045106
QH-E-AUX7-2,-103.0529204,33.57045106
QH-E-AUX7-3,-103.0529204,33.57045106
QH-E-AUX7-4,-103.0529204,33.57045106
QH-E-AUX7-5,-103.0529204,33.57045106
QH-E-AUX7-6,-103.0529204,33.57045106
QH-E-BAZ46,-103.02143,31.55394
QH-E-BAZ46-1,-103.02143,31.55394
QH-E-BAZ46-2,-103.02177,31.55388
QH-E-BAZ46-3,-103.02914,31.55177
QH-E-BAZ46-4,-103.02918,31.55162
QH-E-BAZ46-5,-103.02943,31.55155
QH-E-BAZ46-6,-103.0434,31.54726
QH-E-BAZ46-7,-103.04378,31.54718
QH-E-BAZ46-8,-103.04453,31.54692
QH-E-BAZ46-9,-103.04469,31.54689
QH-E-IMP,-102.62246,31.40127
QH-E-IMP-1,-102.62246,31.40127
QH-E-IMP-10,-102.624133,31.405816
QH-E-IMP-11,-102.624133,31.406691
QH-E-IMP-12,-102.62429,31.407118
QH-E-IMP-13,-102.625242,31.410159
QH-E-IMP-14,-102.626533,31.41433
QH-E-IMP-15,-102.62681,31.41511
QH-E-IMP-16,-102.630304,31.426272
QH-E-IMP-17,-102.630304,31.426272
QH-E-IMP-2,-102.62246,31.40127
QH-E-IMP-3,-102.62202,31.39991
QH-E-IMP-4,-102.62194,31.399667
QH-E-IMP-5,-102.62194,31.399646
QH-E-IMP-6,-102.62194,31.399646
QH-E-IMP-7,-102.6217,31.399738
QH-E-IMP-8,-102.632174,31.403507
QH-E-IMP-9,-102.623627,31.405043
